@RELATION deceptionExtraTrees
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {../../training-data/deception-audio/truth_audio,../../training-data/deception-audio/lie_audio}

@DATA
0.043325,0.007507,3.027240,0.102693,0.144411,0.309183,0.008508,0.060321,-26.280522,2.477341,0.124413,-0.259549,-0.412415,0.219219,0.081351,-0.027548,-0.338219,0.017201,-0.158835,0.065833,0.030762,0.028548,0.007657,0.036440,0.019954,0.023681,0.020784,0.025059,0.003808,0.015284,0.010191,0.013365,0.004753,0.021403,0.030106,0.005827,0.248074,0.036767,0.029330,0.346664,0.004665,0.056403,1.602812,0.600935,0.643238,0.390683,0.417260,0.338851,0.286419,0.280220,0.290812,0.246313,0.202659,0.198529,0.193428,0.024786,0.009400,0.026338,0.019376,0.019697,0.021296,0.020311,0.006442,0.014974,0.009241,0.012387,0.005643,0.008796,../../training-data/deception-audio/truth_audio
0.048311,0.008205,3.048114,0.111400,0.151116,0.357174,0.007459,0.069467,-26.209362,2.248382,-0.014502,-0.260512,-0.380951,0.167393,0.004667,-0.038595,-0.267596,-0.010398,-0.118509,0.055995,0.034742,0.021598,0.007995,0.038900,0.018780,0.024261,0.019980,0.021082,0.005553,0.016614,0.008447,0.013677,0.006323,0.020644,0.029172,0.006959,0.226157,0.036528,0.030276,0.316686,0.004334,0.055270,1.719555,0.616938,0.609231,0.361389,0.414383,0.293103,0.272176,0.279709,0.259667,0.206743,0.201817,0.202174,0.183761,0.020352,0.008736,0.026504,0.019541,0.017602,0.019421,0.016281,0.008451,0.015482,0.008006,0.011485,0.007997,0.008811,../../training-data/deception-audio/truth_audio
0.045431,0.010440,3.035495,0.109949,0.153924,0.329394,0.008755,0.064889,-26.314749,2.461396,0.029835,-0.303780,-0.420758,0.072726,0.051762,-0.026842,-0.238287,-0.017657,-0.113866,0.023617,0.016940,0.020436,0.009034,0.028407,0.022592,0.033455,0.025631,0.025696,0.005026,0.010233,0.009297,0.015637,0.008234,0.021855,0.031721,0.010445,0.253820,0.038974,0.028863,0.359408,0.004825,0.059467,1.921786,0.669237,0.655109,0.387808,0.442618,0.282122,0.290658,0.257121,0.283006,0.203026,0.189729,0.196471,0.176737,0.018949,0.010633,0.021960,0.021214,0.027570,0.027289,0.021416,0.008095,0.010296,0.009028,0.013018,0.009755,0.009347,../../training-data/deception-audio/truth_audio
0.038990,0.014775,3.047846,0.100192,0.147332,0.252950,0.009318,0.052082,-26.420263,2.737358,0.092498,-0.227687,-0.529518,0.128981,-0.004121,0.087610,-0.245765,-0.010549,-0.180518,0.025723,0.024092,0.025796,0.012061,0.039104,0.032008,0.029599,0.017368,0.025403,0.002186,0.011456,0.007812,0.014651,0.007236,0.021950,0.026813,0.014591,0.229394,0.036234,0.031170,0.273412,0.005559,0.049902,1.936115,0.595496,0.560493,0.380094,0.417846,0.249749,0.270923,0.246517,0.270850,0.227941,0.221959,0.197229,0.190340,0.023652,0.012117,0.026871,0.029469,0.018447,0.016216,0.016534,0.002810,0.010771,0.007594,0.009865,0.007616,0.008832,../../training-data/deception-audio/truth_audio
0.040130,0.013787,3.038199,0.102701,0.146406,0.296743,0.009418,0.059433,-26.389265,2.532107,0.286408,-0.221454,-0.529125,0.165424,-0.159276,0.052376,-0.225801,0.023169,-0.166858,0.012436,0.007363,0.018713,0.011570,0.034945,0.033468,0.037900,0.017342,0.023439,0.003260,0.011862,0.009606,0.012644,0.007468,0.024077,0.027695,0.012530,0.253299,0.035980,0.032758,0.295191,0.005649,0.052597,2.110703,0.612380,0.648804,0.390273,0.401656,0.292360,0.277159,0.270686,0.250716,0.228200,0.208056,0.178294,0.188168,0.016342,0.013043,0.026434,0.030805,0.032084,0.018804,0.019307,0.004899,0.012361,0.009868,0.011080,0.009511,0.010419,../../training-data/deception-audio/truth_audio
0.067752,0.022860,3.010486,0.134946,0.148994,0.521581,0.012494,0.097947,-27.620250,2.316785,0.332091,-0.083989,-0.360397,0.348332,0.097550,-0.124737,-0.134556,-0.163534,-0.176208,-0.040158,-0.003735,0.011234,0.004919,0.073416,0.022329,0.036302,0.010558,0.024155,0.001545,0.004063,0.016667,0.014610,0.006082,0.031763,0.065577,0.028330,0.282514,0.056399,0.024339,0.577905,0.009668,0.116883,3.034661,0.778209,0.679085,0.358756,0.438774,0.292478,0.314976,0.281933,0.340202,0.295782,0.299653,0.282683,0.266859,0.017324,0.009968,0.068261,0.027494,0.035541,0.015454,0.022493,0.002661,0.004148,0.018903,0.017131,0.011777,0.018272,../../training-data/deception-audio/truth_audio
0.047423,0.009892,2.991482,0.116168,0.153064,0.402422,0.011024,0.073221,-28.650244,2.563239,0.377836,0.305403,-0.040139,0.348644,0.223822,-0.037244,0.067597,0.015469,0.049803,-0.017126,0.045672,0.008456,0.003851,0.061651,0.007124,0.040037,0.009136,0.051269,0.001627,0.007965,0.018279,0.019437,0.006144,0.029534,0.039843,0.018071,0.252996,0.043406,0.027541,0.498011,0.008419,0.086374,3.204708,0.876846,0.601186,0.410454,0.391373,0.396439,0.276114,0.258266,0.258874,0.191638,0.219956,0.193575,0.224803,0.010091,0.007761,0.049095,0.008782,0.031436,0.013695,0.035705,0.002198,0.009376,0.015650,0.016953,0.010810,0.010721,../../training-data/deception-audio/truth_audio
0.050922,0.005984,3.009035,0.124991,0.176145,0.290394,0.010166,0.056915,-28.771201,3.159067,-0.198691,-0.003220,0.017008,0.276087,0.249499,0.136589,0.028307,0.090149,-0.057322,0.086045,0.050858,0.019868,0.004111,0.069583,0.012766,0.042816,0.010883,0.028245,0.002986,0.006959,0.010542,0.019724,0.005833,0.027323,0.042299,0.008789,0.338823,0.049010,0.032220,0.374353,0.006891,0.069246,2.603093,0.681633,0.768057,0.373424,0.364197,0.356733,0.285389,0.213291,0.237963,0.228974,0.210921,0.164114,0.173310,0.015978,0.004677,0.048527,0.013314,0.030946,0.012157,0.022321,0.004522,0.008925,0.010530,0.016251,0.007108,0.010904,../../training-data/deception-audio/truth_audio
0.072688,0.005247,2.989760,0.146047,0.178841,0.501499,0.009275,0.096426,-28.759368,3.028054,-0.185340,0.108810,-0.058381,0.239248,0.255954,0.113787,0.038590,0.075902,-0.074237,-0.009694,0.042587,0.029865,0.003795,0.071608,0.009553,0.022967,0.011667,0.033341,0.002324,0.007211,0.009040,0.026299,0.005249,0.026694,0.059762,0.006765,0.361067,0.062316,0.030545,0.602268,0.006948,0.120460,2.257479,0.786013,0.650929,0.353507,0.373520,0.311784,0.267855,0.252240,0.227964,0.190499,0.213848,0.172833,0.169535,0.028005,0.004188,0.046794,0.009027,0.019565,0.012493,0.026964,0.003022,0.011483,0.007453,0.025081,0.006164,0.012814,../../training-data/deception-audio/truth_audio
0.105969,0.002209,2.967940,0.188941,0.199804,0.584923,0.006268,0.142984,-28.654795,2.402244,-0.123601,0.329274,0.072969,0.103571,-0.198782,0.076093,0.059974,0.055844,0.140539,0.139776,0.068139,0.013993,0.002967,0.057120,0.010592,0.016553,0.013372,0.063951,0.002457,0.007915,0.010798,0.030065,0.006316,0.029867,0.063827,0.002120,0.276867,0.055931,0.018255,0.478267,0.003322,0.146685,1.728817,0.717422,0.739896,0.350290,0.452860,0.333309,0.284886,0.245312,0.226559,0.208227,0.200846,0.187721,0.168106,0.016018,0.004118,0.038747,0.012999,0.016412,0.015649,0.055713,0.003671,0.009685,0.011673,0.023001,0.008923,0.015329,../../training-data/deception-audio/truth_audio
0.046435,0.007070,3.013554,0.103024,0.136079,0.380887,0.008126,0.076834,-27.607977,1.830190,-0.282582,0.089525,0.013542,-0.042073,0.041130,-0.117702,-0.155918,0.033528,-0.185841,0.210310,-0.104654,0.014665,0.008763,0.031717,0.016346,0.018741,0.015833,0.018811,0.006440,0.015413,0.010334,0.018629,0.004977,0.018789,0.027290,0.010396,0.278512,0.030520,0.033010,0.302196,0.005639,0.046312,2.571126,0.706044,0.719273,0.532119,0.507381,0.370824,0.304537,0.302875,0.324775,0.277148,0.274700,0.242447,0.222052,0.018405,0.012477,0.029020,0.016821,0.019874,0.016439,0.013885,0.010880,0.012790,0.009900,0.015461,0.005798,0.009130,../../training-data/deception-audio/truth_audio
0.066649,0.004654,2.975146,0.146418,0.182774,0.420851,0.009666,0.097591,-28.228639,2.635127,0.179115,0.285148,-0.270257,-0.019253,-0.181135,-0.049475,-0.001070,-0.096983,0.016498,0.031508,0.064555,0.018744,0.004869,0.035955,0.014394,0.021228,0.018613,0.073176,0.001996,0.009691,0.016665,0.024866,0.006066,0.028769,0.070973,0.005353,0.223003,0.066879,0.028065,0.592091,0.011498,0.148165,2.128170,0.736638,0.677651,0.347547,0.398384,0.284862,0.267214,0.229444,0.251574,0.212767,0.197413,0.192401,0.196970,0.019297,0.007827,0.032900,0.015141,0.017314,0.019379,0.056058,0.003997,0.010225,0.014135,0.020294,0.008711,0.014838,../../training-data/deception-audio/truth_audio
0.052742,0.017524,3.057107,0.134363,0.176820,0.391065,0.014721,0.073893,-26.936041,2.528097,0.242466,-0.020449,-0.150024,0.057651,-0.144643,0.054563,0.096034,0.013391,0.007702,0.017697,0.057328,0.011654,0.003393,0.012484,0.007290,0.011849,0.006829,0.108996,0.001236,0.017186,0.029517,0.019625,0.003575,0.039449,0.053540,0.018469,0.242337,0.054198,0.028966,0.525592,0.011357,0.088504,2.133858,1.147329,0.734430,0.460922,0.451462,0.331392,0.267725,0.230829,0.237817,0.207136,0.199276,0.198461,0.205969,0.017110,0.006189,0.012390,0.011761,0.015969,0.009772,0.095690,0.002415,0.024946,0.030787,0.022389,0.004834,0.023943,../../training-data/deception-audio/truth_audio
0.074487,0.002573,2.906470,0.158484,0.189776,0.458455,0.008533,0.084046,-29.247137,2.813063,0.504211,0.372015,-0.062429,0.041362,0.063202,0.096700,0.083651,-0.023191,-0.185562,0.048066,-0.085910,0.016498,0.003149,0.037073,0.012913,0.019973,0.008247,0.066383,0.001031,0.005305,0.034019,0.048007,0.003638,0.028839,0.059361,0.002753,0.247485,0.062530,0.029611,0.502167,0.006485,0.108689,2.118068,0.777663,0.652348,0.315155,0.353121,0.332288,0.241231,0.226943,0.219953,0.198073,0.187673,0.172154,0.176691,0.016092,0.003583,0.025308,0.011703,0.014422,0.007525,0.045827,0.001832,0.006151,0.030920,0.029633,0.004038,0.010589,../../training-data/deception-audio/truth_audio
0.079533,0.000759,2.969121,0.160217,0.182820,0.576466,0.006861,0.092079,-31.793679,2.176079,0.303447,0.286813,-0.017026,0.179052,0.085805,0.096301,0.057592,0.043341,-0.089155,-0.030333,-0.085343,0.019776,0.003754,0.034577,0.011151,0.022306,0.008984,0.059532,0.002223,0.004677,0.021291,0.037041,0.006745,0.026228,0.044194,0.001072,0.294442,0.050123,0.028762,0.406162,0.004990,0.081193,2.601428,0.705571,0.611000,0.295089,0.332095,0.304507,0.245325,0.210308,0.191411,0.188774,0.176795,0.176441,0.185300,0.019136,0.003915,0.023489,0.010922,0.017780,0.008247,0.044584,0.003122,0.004558,0.021210,0.025989,0.007777,0.010989,../../training-data/deception-audio/truth_audio
0.076338,0.002399,3.091952,0.163176,0.182832,0.609384,0.005775,0.103864,-27.702232,2.204565,0.309551,-0.134294,-0.062922,-0.055946,-0.179272,-0.041387,-0.136505,0.056369,-0.016186,0.080157,0.033373,0.009901,0.004164,0.031984,0.016796,0.028437,0.014393,0.028759,0.003759,0.014503,0.020688,0.018588,0.006599,0.018679,0.046790,0.003228,0.162503,0.047313,0.021550,0.496623,0.003161,0.114444,1.763344,0.675708,0.740294,0.517282,0.346828,0.338883,0.283990,0.249501,0.221904,0.222730,0.191877,0.190914,0.176850,0.009144,0.004847,0.026509,0.018242,0.024446,0.016347,0.023009,0.006567,0.015339,0.018734,0.014702,0.007943,0.008457,../../training-data/deception-audio/truth_audio
0.052494,0.011592,2.941071,0.111139,0.147224,0.345549,0.011692,0.074653,-27.375327,2.446730,-0.156469,-0.213270,-0.301286,-0.009401,-0.046009,-0.058536,-0.086505,-0.109823,-0.109100,-0.063407,-0.245824,0.029893,0.007113,0.020135,0.011012,0.015976,0.011475,0.012660,0.002925,0.005078,0.020029,0.046185,0.008913,0.022030,0.045139,0.010436,0.469935,0.044664,0.035237,0.404089,0.008450,0.074019,2.466689,1.028477,0.680196,0.545892,0.398154,0.386918,0.305112,0.270785,0.250816,0.238347,0.219356,0.229371,0.218262,0.031037,0.009120,0.020960,0.013926,0.016986,0.012916,0.013699,0.005073,0.006260,0.016047,0.038379,0.011631,0.011796,../../training-data/deception-audio/truth_audio
0.027484,0.015373,3.008503,0.100209,0.160773,0.171902,0.010130,0.037349,-26.106824,2.596691,0.222019,0.371636,0.214571,0.235986,0.285020,0.004382,0.109400,0.203822,0.067861,0.021444,0.002098,0.017804,0.002074,0.095376,0.005588,0.029575,0.009602,0.058858,0.003386,0.005947,0.010843,0.040785,0.005602,0.035832,0.015872,0.014101,0.157588,0.027065,0.033080,0.214204,0.005010,0.035865,1.802220,0.611202,0.625243,0.387264,0.371671,0.375826,0.282381,0.301427,0.245176,0.214942,0.198624,0.191800,0.175249,0.022840,0.002987,0.053365,0.005050,0.020229,0.014549,0.035407,0.005302,0.008963,0.012936,0.030755,0.008643,0.011822,../../training-data/deception-audio/truth_audio
0.015829,0.318774,3.117280,0.084431,0.160439,0.090562,0.023486,0.019816,-23.425426,3.220236,0.782686,0.646962,0.214338,0.381238,0.091420,0.124166,-0.003153,-0.042025,-0.032469,-0.040272,-0.064895,0.015864,0.000513,0.045862,0.003687,0.022996,0.001896,0.067249,0.000314,0.001547,0.045461,0.078786,0.000709,0.047111,0.017692,0.165597,0.213290,0.034960,0.043615,0.158324,0.020536,0.028538,2.036596,0.629741,0.461692,0.327258,0.283962,0.249700,0.235098,0.219482,0.213589,0.206078,0.197051,0.173024,0.163293,0.020393,0.000685,0.045947,0.004967,0.021359,0.002244,0.062478,0.000611,0.001950,0.047255,0.053682,0.001126,0.012809,../../training-data/deception-audio/truth_audio
0.073031,0.006649,3.090576,0.133347,0.148226,0.642465,0.006692,0.117814,-26.682090,2.162514,0.526532,0.047035,0.014101,0.042886,0.120137,-0.059444,-0.095016,-0.098462,-0.078821,-0.064475,-0.062984,0.021389,0.005257,0.036516,0.012636,0.018270,0.010691,0.034522,0.002850,0.007774,0.017861,0.029179,0.003863,0.020355,0.060578,0.006317,0.140110,0.050940,0.026047,0.558972,0.003960,0.108589,1.768320,0.646133,0.758045,0.427301,0.434381,0.319498,0.337914,0.241693,0.283028,0.214165,0.212056,0.191215,0.198518,0.018928,0.007470,0.028868,0.013484,0.015557,0.011135,0.029169,0.004424,0.009235,0.016842,0.024198,0.005543,0.010305,../../training-data/deception-audio/truth_audio
